analystName,analystCompany,publisher,skill_score,accuracy,avg_error,breadth,total_predictions,diversity
Brooke Roach,Goldman Sachs,Benzinga,0.9606987137762598,0.04176950929461999,23.94090849730912,23,23,14
Rob Owens,Piper Sandler,StreetInsider,0.960211625178053,0.03429327232778761,29.160238499307827,28,28,15
Thomas Palmer,Coker Palmer,TheFly,0.9582259743086385,0.07985216452571987,12.523142058070404,12,12,10
Ramsey El-Assal,Barclays,TheFly,0.954674294643003,0.03671824210165396,27.234419263087634,26,26,19
Angel Castillo,Morgan Stanley,StreetInsider,0.9532948648751671,0.0733303742211667,13.636913906698046,13,13,13
Justin Clare,Roth Capital,TheFly,0.9523851044504995,0.9523851044504995,1.0499954223632812,1,1,1
Kashy Harrison,Piper Sandler,StreetInsider,0.9507984658320998,0.02971245205725312,33.65592304778796,32,32,15
David Vogt,UBS,Benzinga,0.9500062882379531,0.05937539301487207,16.841993782668936,16,16,9
Suneet Kamath,Jefferies,TheFly,0.9453782014913242,0.06752701439223745,14.808888102047566,14,14,10
Ross Seymore,Deutsche Bank,StreetInsider,0.9446119061440833,0.025530051517407656,39.1695253461651,37,37,14
Brian Schwartz,Oppenheimer,StreetInsider,0.9433619784942132,0.03930674910392555,25.440923576662062,24,24,12
Jeremy Sigee,BNP Paribas,StreetInsider,0.9411177419054091,0.47055887095270454,2.1251326066287444,2,2,2
David Windley,Jefferies,StreetInsider,0.9391707127617088,0.0552453360448064,18.101075522265916,17,17,12
Brandon Nispel,KeyBanc,Benzinga,0.9391330682240576,0.04268786673745716,23.425860236827756,22,22,11
Richard Newitter,Leerink Partners,TheFly,0.9376854909149841,0.06251236606099894,15.996834914618494,15,15,14
Michael Morris,Guggenheim,StreetInsider,0.9376777386981396,0.0334884906677907,29.861005380030523,28,28,12
Faiza Alwy,Deutsche Bank,Pulse 2.0,0.9277051823068975,0.05798157389418109,17.2468584903377,16,16,14
Aaron Rakers,UBS,Benzinga,0.9275460541156831,0.023783232156812387,42.046429745402094,39,39,20
Eric Coldwell,Robert W. Baird,StreetInsider,0.9260943594873762,0.04630471797436881,21.59607149650567,20,20,9
Chris Graja,Argus Research,StreetInsider,0.9250340708922444,0.05781462943076528,17.29666020254492,16,16,13
Tore Svanberg,Stifel Nicolaus,StreetInsider,0.9232091657806046,0.04013952894698281,24.913097543342435,23,23,13
Jeremy Campbell,Barclays,TheFly,0.9166606116608805,0.07051235474314466,14.181911859881858,13,13,13
Selman Akyol,Stifel Nicolaus,Benzinga,0.9119212304567756,0.07599343587139797,13.159031283863493,12,12,10
Antonio Riverwalk,Stifel Nicolaus,TheFly,0.9112412871537433,0.9112412871537433,1.0974041827313312,1,1,1
Alexander Blostein,Bernstein,Benzinga,0.9093239480226055,0.056832746751412845,17.5954895225109,16,16,10
Terry McEvoy,Stephens,StreetInsider,0.9092843164670564,0.08266221058791422,12.097426295374284,11,11,8
Scott Berg,Needham,Benzinga,0.9086476818541636,0.033653617846450504,29.714487297105606,27,27,15
Stephen Volkmann,Jefferies,Pulse 2.0,0.9077151979444082,0.060514346529627214,16.525006999958432,15,15,12
