symbol,environmentalScore,socialScore,governanceScore,ESGScore,cumulative_return
AL,69.15,69.22,68.37,68.91,0.28134026574234555
AKR,89.53,87.35,79.92,85.6,0.7708333333333333
ALB,63.16,71.18,79.35,71.23,-0.3426258992805755
ALBT,59.34,70.09,68.38,65.94,-0.7614473684210527
ALC,66.14,67.18,65.66,66.33,0.30776111187560196
ALCE,72.84,71.47,69.89,71.4,-0.9900475023562676
ALCO,69.9,70.38,64.39,68.22,0.06601066010660105
ALCYW,71.43,80.81,74.97,75.74,-0.4727592267135325
ALCY,71.43,80.81,74.97,75.74,0.054106280193236767
ALDX,54.62,66.86,58.89,60.12,2.3674698795180724
ALEC,60.17,64.73,65.03,63.31,-0.026923076923077032
ALE,69.85,59.83,72.1,67.26,0.20870054378398642
ALEX,58.66,73.07,70.41,67.38,0.15413300186451215
ALF,32.91,71.21,60.93,55.02,0.0006399999999999295
ALG,56.74,63.54,66.63,62.3,0.08333837314786817
ALGM,88.83,97.17,71.46,85.82,-0.29856850715746425
ALGN,73.2,80.48,64.4,72.69,-0.1963446668393208
ALGS,53.33,60.91,59.23,57.82,-0.6053333333333333
ALGT,65.3,73.07,75.91,71.43,-0.1170963364993217
ALHC,66.51,72.4,66.41,68.44,0.5644937586685159
ALIT,61.03,68.84,70.99,66.95,0.06891495601173017
ALK,78.99,81.41,80.76,80.39,0.3995646766169155
ALKS,58.34,45.84,56.02,53.4,0.0529653114509512
ALKT,50.0,86.77,55.34,64.04,0.8960554371002131
ALL,57.28,63.11,54.71,58.37,0.558922558922559
ALLK,61.72,66.12,66.57,64.8,-0.6575263157894736
ALLO,65.62,67.18,59.48,64.09,-0.07046979865771812
ALLE,48.76,56.95,65.55,57.09,0.5558035714285714
ALLR,54.76,74.76,66.16,65.23,-0.9961190476190477
ALLT,50.0,54.81,74.0,59.6,0.5560975609756099
ALLY,44.08,60.73,50.53,51.78,0.4023151909017058
ALNT,77.17,63.72,69.66,70.18,-0.33333333333333337
ALNY,62.55,64.02,60.54,62.37,0.8591277258566977
ALOT,73.84,84.31,52.26,70.14,0.13846153846153852
ALPP,73.94,67.69,65.1,68.91,-0.8242342342342343
ALRM,67.08,58.36,64.6,63.35,-0.04196428571428574
ALRN,48.71,68.72,68.8,62.08,1.8515625
ALRS,76.86,71.92,77.31,75.36,0.3677966101694916
